"Mes","Puerto","Canarias-Cargadas","Canarias-Descargadas","Canarias-Tránsito","Nacional-Cargadas","Nacional-Descargadas","Nacional-Tránsito","UE-Cargadas","UE-Descargadas","UE-Transbordos","UE-Tránsito","Resto-Cargadas","Resto-Descargadas","Resto-Transbordos","Resto-Tránsito"
"2018-02","LA ESTACA (EL HIERRO)",1513.48,3494.5,0,0,0,0,0,0,0,0,0,0,0,0
"2018-02","LOS CRISTIANOS",25989.87,11968.16,4,0,0,0,0,0,0,0,0,0,0,0
"2018-02","S/C DE LA PALMA",7258.99,31579.65,0,16190.89,4301.41,410.79,24.04,1701.16,0,47.54,0,76.57,0,0
"2018-02","S/C DE TENERIFE",152771.14,69272.49,0,75870.4,417292.65,24459.18,3053.05,80047.8,0,524.91,3949.78,13725.89,5951.37,38601.17
"2018-02","S/S DE LA GOMERA",5153.3,9852.55,685.7,0,0,0,0,0,0,0,0,0,0,0
"2018-03","LA ESTACA (EL HIERRO)",1662.05,3672.66,0,0,0,0,0,0,0,0,0,0,0,0
"2018-03","LOS CRISTIANOS",29086.25,13795.69,0,0,0,0,0,0,0,0,0,0,0,0
"2018-03","S/C DE LA PALMA",9015.66,37336.95,0,22094.42,5077.28,2730.39,8,142.96,0,0,10.82,23.95,0,0
"2018-03","S/C DE TENERIFE",191042.16,80389.85,14,82313.48,360428.39,21236.04,2621.53,180367.5,0,520.92,14359.7,36905.41,5125.99,32411.22
"2018-03","S/S DE LA GOMERA",6191,11498.24,617.9,0,0,0,0,0,0,0,0,0,0,0
"2018-04","LA ESTACA (EL HIERRO)",1428.64,3475.95,0,0,0,0,0,0,0,0,0,0,0,0
"2018-04","LOS CRISTIANOS",29845.31,14220.52,0,0,0,0,0,0,0,0,0,0,0,0
"2018-04","S/C DE LA PALMA",9647.06,37411.11,0,20182.62,4526.8,2122.35,0,45.26,0,0,0,0,0,0
"2018-04","S/C DE TENERIFE",193208.06,78870.38,6.1,72203.9,339347.91,17908.71,2288.15,173675.33,0,361.84,3987.21,12538.4,0,27586.57
"2018-04","S/S DE LA GOMERA",6232.34,10267.79,0,0,0,0,0,0,0,0,0,0,0,0
"2018-05","LA ESTACA (EL HIERRO)",1615.26,3309.85,0,0,0,0,0,0,0,0,0,0,0,0
"2018-05","LOS CRISTIANOS",29898.92,13199.92,0,0,0,0,0,0,0,0,0,0,0,0
"2018-05","S/C DE LA PALMA",8884.82,38338.01,0,19285.57,5739.58,3294.69,28.11,849.81,0,5,0,0,0,0
"2018-05","S/C DE TENERIFE",161210.3,80195.27,60.33,86557.44,412197.69,3564.12,3859.64,77980.27,0,201.12,3412.99,19781.2,0,21777.66
"2018-05","S/S DE LA GOMERA",5251.86,9979.95,8,0,0,0,0,0,0,0,0,0,0,0
"2018-06","LA ESTACA (EL HIERRO)",1483.51,3823.27,0,0,0,0,0,0,0,0,0,0,0,0
"2018-06","LOS CRISTIANOS",28438.09,13005.94,0,0,0,0,0,0,0,0,0,0,0,0
"2018-06","S/C DE LA PALMA",8548.79,33783.85,80.5,18782.82,5603.36,2869.39,0,809.27,0,5,0,22.67,0,0
"2018-06","S/C DE TENERIFE",153084.99,78709.69,112.25,61472.97,398163.4,4879.96,2158.68,85362.55,0,233.06,2131.2,11656.04,0,4210
"2018-06","S/S DE LA GOMERA",5478.82,9989.24,0,0,0,0,0,0,0,0,0,0,0,0
"2018-07","LA ESTACA (EL HIERRO)",1642.7,3535.18,0,0,0,0,0,0,0,0,0,0,0,0
"2018-07","LOS CRISTIANOS",31576.67,13354.82,0,0,0,0,0,0,0,0,0,0,0,0
"2018-07","S/C DE LA PALMA",8821.43,35043.78,457.5,16424.91,5047.65,1690.15,4.5,627.68,0,9.4,0,24,0,0
"2018-07","S/C DE TENERIFE",176021.34,83088.22,38.54,64563.64,324574.19,3510.94,1751.95,164182.37,0,279.15,2443.59,68944.31,0,53020.66
"2018-07","S/S DE LA GOMERA",5412.69,10899.89,0,0,0,0,0,0,0,0,0,0,0,0
"2018-08","LA ESTACA (EL HIERRO)",1979.3,4365.68,0,0,0,0,0,0,0,0,0,0,0,0
"2018-08","LOS CRISTIANOS",33588.41,14406.62,0,0,0,0,0,0,0,0,0,0,0,0
"2018-08","S/C DE LA PALMA",9251.14,39836.59,333,18462.36,5240.41,2709.71,45,115.29,0,0,0,514.58,0,0
"2018-08","S/C DE TENERIFE",166641.86,87958.68,112.34,62740.07,326605.67,5343.15,1061.76,147492.26,0,200.26,3094.96,46527.26,0,92252.22
"2018-08","S/S DE LA GOMERA",5769.87,13131.58,0,0,0,0,0,0,0,0,0,0,0,0
"2018-09","LA ESTACA (EL HIERRO)",1787.74,3122.74,0,0,0,0,0,0,0,0,0,0,0,0
"2018-09","LOS CRISTIANOS",28648.55,14047.37,0,0,0,0,0,0,0,0,0,0,0,0
"2018-09","S/C DE LA PALMA",8648.31,32255.94,95,18893.85,5066.73,2726.71,6,184.81,0,0,0,130.09,0,0
"2018-09","S/C DE TENERIFE",163367.95,74618.29,152.42,63961.43,325277.96,1809.41,2351.67,113927.86,0,62.56,2692.56,11454.05,0,56550.51
"2018-09","S/S DE LA GOMERA",5624.27,11028.14,8.7,0,0,0,0,0,0,0,0,0,0,0
"2018-10","LA ESTACA (EL HIERRO)",1890.65,4627.13,0,0,0,0,0,0,0,0,0,0,0,0
"2018-10","LOS CRISTIANOS",32902.84,14660.27,0,0,0,0,0,0,0,0,0,0,0,0
"2018-10","S/C DE LA PALMA",8715.65,36957.61,327,19011.76,5008.8,2168.87,8,111.31,0,5.71,0,0,0,0
"2018-10","S/C DE TENERIFE",182472.93,84604.99,107,74133.75,322568.19,4452.92,3542.54,114493.49,0,76.07,3770.16,16824.35,0,13415.98
"2018-10","S/S DE LA GOMERA",6366.04,11558.52,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11","LA ESTACA (EL HIERRO)",1735.2,3826.75,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11","LOS CRISTIANOS",32427.53,14014.48,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11","S/C DE LA PALMA",10049.23,34547.74,162,15733.03,4367.5,2917.51,8,112.16,0,5.71,0,12.12,0,0
"2018-11","S/C DE TENERIFE",150942.38,84615.89,503,75678.22,387360.07,1331.2,10382.11,144421.32,0,121.74,4722.86,32174.07,1224.35,6429.27
"2018-11","S/S DE LA GOMERA",5930.06,11876.75,18,0,0,0,0,0,0,0,0,0,0,0
"2018-12","LA ESTACA (EL HIERRO)",1769.32,3243.75,0,0,0,0,0,0,0,0,0,0,0,0
"2018-12","LOS CRISTIANOS",29027.22,14217.76,132,0,0,0,0,0,0,0,0,0,0,0
"2018-12","S/C DE LA PALMA",9450.47,36978.27,74,15208.25,5858.23,3865.31,3.83,110.9,0,0,2.2,62.5,0,0
"2018-12","S/C DE TENERIFE",166243.33,79456.82,230.98,73939.75,395660.48,1331.17,2467.14,107199.23,0,370.47,1216.96,44289.49,293.61,614.87
"2018-12","S/S DE LA GOMERA",5637.27,9784.9,29,0,0,0,0,0,0,0,0,0,0,0
"2019-01","LA ESTACA (EL HIERRO)",1940.32,4666,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01","LOS CRISTIANOS",33563.79,14683.85,237,0,0,0,0,0,0,0,0,0,0,0
"2019-01","S/C DE LA PALMA",9374.1,37411.92,273.17,15355.71,3962.69,2631.22,0,644.19,0,14,0,89.21,0,0
"2019-01","S/C DE TENERIFE",172280.2,92466.86,326.17,75104.66,390554.79,2140.24,2855.56,148566.59,0,118.02,16252.16,13165.82,0,6200.74
"2019-01","S/S DE LA GOMERA",6860.25,14010.87,34.5,0,0,0,0,0,0,0,0,0,0,0
"2019-02","LA ESTACA (EL HIERRO)",2075.28,3793.87,0,0,0,0,0,0,0,0,0,0,0,0
"2019-02","LOS CRISTIANOS",30643.14,14151.73,333.55,0,0,0,0,0,0,0,0,0,0,0
"2019-02","S/C DE LA PALMA",9106.62,31784.59,103.5,14598.37,5624.59,2678.34,58.4,133.42,0,0,0,50.19,0,0
"2019-02","S/C DE TENERIFE",149731.48,73266.24,347.55,73071.1,320799.38,2198.95,1698.8,134895.26,0,90.12,19941.36,7394.98,0,0
